household_key,recency,frequency,monetary,avg_basket_value,avg_basket_size,std_basket_value,n_unique_departments,category_hhi,national_brand_ratio,discount_rate,coupon_redemption_rate,campaign_exposure_count,active_weeks_ratio,spending_trend_slope,primary_store_share,cluster_km,cluster_hc,cluster_db,is_noise_dbscan
1502,31,46,2160.82,46.97434782608696,18.73913043478261,52.422969590403106,13,0.33493281768214517,0.7218628719275549,0.12787872428016755,0.0,4.0,0.38235294117647056,-0.10728831989792958,0.6956521739130435,0,1,0,False
1730,4,167,3509.78,21.016646706586826,7580.868263473054,7.962207919462108,6,0.9211082331128466,0.12626262626262627,0.01167757831749384,0.0,0.0,0.8725490196078431,0.059210565884251116,0.9880239520958084,0,1,-1,True
562,16,78,3178.11,40.745000000000005,402.0,36.754231128458606,13,0.40176049965204463,0.8030942334739803,0.158952034402911,0.0,2.0,0.5784313725490197,0.13487100805933236,0.9358974358974359,0,0,0,False
1729,5,85,2910.61,34.24247058823529,73.18823529411765,35.86205976694996,14,0.3994778181769478,0.65,0.15028857859351144,0.0,6.0,0.5294117647058824,-0.662999394809192,0.8705882352941177,0,0,0,False
317,1,61,6083.3,99.72622950819672,40.50819672131148,53.31325783092277,13,0.36314373955764445,0.8726549175667994,0.13147453588362362,0.0,6.0,0.5196078431372549,0.3767391218201501,0.7868852459016393,1,0,0,False
1059,156,5,72.91,14.581999999999999,7.2,14.10527100058698,6,0.2169613463509375,0.6857142857142857,0.1364443918038612,0.0,0.0,0.0392156862745098,-0.12268050226717825,1.0,0,1,0,False
1028,153,12,121.91,10.159166666666666,7.833333333333333,6.119271285096459,6,0.3913550044290329,0.9142857142857143,0.11021093350850303,0.0,0.0,0.11764705882352941,0.011849280163078096,0.9166666666666666,0,1,0,False
1301,1,79,1494.22,18.914177215189873,7.6455696202531644,17.51704105147217,13,0.3153381647256893,0.697196261682243,0.10316307544565152,0.0,4.0,0.45098039215686275,-0.287699252388648,0.7468354430379747,0,0,0,False
2003,4,42,1976.48,47.05904761904762,22.61904761904762,39.57264131359268,13,0.49925712506945347,0.9065300896286812,0.11151069434579734,0.0,0.0,0.3137254901960784,0.3074345251177627,0.4523809523809524,0,1,0,False
2098,79,13,682.46,52.49692307692308,21.46153846153846,44.59896381169548,7,0.38244278809982,0.8108108108108109,0.13168609089521094,0.0,1.0,0.12745098039215685,0.3636979677989395,1.0,0,1,0,False
29,2,69,1343.03,19.464202898550724,9.681159420289855,17.35008733710829,13,0.5073099171791711,0.627906976744186,0.1806995924940826,0.014492753623188406,5.0,0.43137254901960786,-0.3426605972535057,0.6376811594202898,0,0,0,False
359,657,2,172.85,86.425,48.0,35.58868429711894,5,0.3357069443350844,0.7428571428571429,0.14654619068779934,0.0,0.0,0.0196078431372549,0.0,1.0,0,1,-1,True
2384,3,19,801.41,42.17947368421053,20.63157894736842,41.14745347509831,11,0.46794199693660454,0.773851590106007,0.1417847313693364,0.0,1.0,0.16666666666666666,-0.7120108095701309,1.0,0,1,0,False
654,4,146,2330.08,15.95945205479452,7.534246575342466,23.38560240185584,16,0.4078891303066424,0.6205016357688113,0.17650177240421422,0.0,2.0,0.7647058823529411,-0.18602395454766635,0.952054794520548,0,0,0,False
1957,27,44,1994.23,45.32340909090909,17.681818181818183,43.07833319005511,12,0.38380958167777524,0.7326283987915407,0.1317770395879682,0.13636363636363635,2.0,0.35294117647058826,0.45305420011453146,0.5227272727272727,0,0,0,False
134,2,86,5535.09,64.36151162790698,481.8139534883721,44.47566307457813,13,0.3958504156476361,0.7047738693467337,0.17857503264869998,0.0,6.0,0.5588235294117647,0.21440028945696796,0.9418604651162791,1,0,0,False
394,1,65,1565.89,24.090615384615386,8.876923076923077,24.918870602725647,14,0.2440864667348758,0.7980582524271844,0.08985812181413434,0.0,4.0,0.49019607843137253,0.01821703458219186,0.5846153846153846,0,1,0,False
54,216,11,103.09,9.371818181818183,3.8181818181818183,8.288791007356643,3,0.6306711234739083,0.6176470588235294,0.152359809241901,0.0,0.0,0.10784313725490197,0.15269989977776802,0.45454545454545453,0,1,0,False
1476,1,356,9481.75,26.634129213483146,3512.7724719101125,16.349945068612215,12,0.38438361931443854,0.746822033898305,0.08760722004430253,0.0,7.0,0.8627450980392157,0.0009610031390261728,0.3792134831460674,1,0,0,False
863,0,145,2183.53,15.058827586206897,1214.7310344827586,14.42006397848769,14,0.2307442611825242,0.6804451510333863,0.12489730158666543,0.0,3.0,0.5,0.6667244904109867,0.5724137931034483,0,0,0,False
2382,109,36,822.64,22.85111111111111,402.0,22.966880101295903,11,0.2897822863568803,0.8047808764940239,0.14483819661735814,0.0,0.0,0.29411764705882354,-0.086772348830263,0.75,0,1,0,False
